-18	26	1	0	0
-20	19	1	0	0
-26	17	1	0	0
-1	42	1	0	0
-1	57	1	0	0
-4	34	2	0	0
-6	7	1	0	0
-6	66	1	0	0
-6	70	1	0	0
-8	11	1	0	0
-10	30	1	0	0
-10	60	1	0	0
19	36	2	0	0
20	36	1	0	0
24	66	1	0	0
25	12	1	0	0
26	21	2	0	0
26	37	1	0	0
26	48	1	0	0
27	63	1	0	0
27	64	1	0	0
1	56	1	0	0
3	33	1	0	0
3	71	1	0	0
4	11	2	0	0
7	20	1	0	0
7	59	1	0	0
10	67	1	0	0
11	66	2	0	0
12	1	12	0	0
12	2	4	0	0
13	1	53	0	0
13	2	75	0	0
13	3	1	0	0
13	70	1	0	0
13	72	17	0	0
14	59	2	0	0
15	59	1	0	0
-1	48	1	0	0
-1	60	1	0	0
-4	1	1	0	0
-6	14	3	0	0
-8	26	1	0	0
-11	59	5	0	0
-13	10	4	0	0
-13	53	1	0	0
-15	67	1	0	0
-16	18	1	0	0
-17	52	1	0	0
1	27	1	0	0
1	37	1	0	0
2	31	1	0	0
9	31	1	0	0
11	39	1	0	0
11	55	1	0	0
13	12	1	0	0
13	16	2	0	0
14	2	2	0	0
14	57	1	0	0
16	17	1	0	0
17	19	1	0	0
17	27	2	0	0
18	6	1	0	0
18	19	2	0	0
19	67	1	0	0
