-18	24	5	0	0
-19	24	2	0	0
-19	26	2	0	0
-19	27	2	0	0
-19	33	1	0	0
-23	8	1	0	0
-23	56	1	0	0
-25	5	3	0	0
-1	9	2	0	0
-1	20	2	0	0
-1	40	1	0	0
-1	65	1	0	0
-2	16	1	0	0
-2	17	1	0	0
-2	35	1	0	0
-2	43	1	0	0
-4	46	1	0	0
-4	69	3	0	0
-5	2	5	0	0
-5	41	2	0	0
-5	45	1	0	0
-5	72	13	0	0
-6	1	20	0	0
-6	3	2	0	0
-6	72	39	0	0
-7	1	8	0	0
-9	17	1	0	0
-10	66	1	0	0
-11	47	1	0	0
-11	70	1	0	0
-12	68	2	0	0
-12	70	1	0	0
-14	23	1	0	0
-14	47	1	0	0
-15	25	2	0	0
-15	29	2	0	0
-16	26	2	0	0
-16	29	17	0	0
-16	30	13	0	0
-16	32	1	0	0
-17	23	1	0	0
-17	25	3	0	0
-17	26	4	0	0
-17	30	18	0	0
-17	56	3	0	0
-17	58	83	0	0
-17	59	16	0	0
22	58	1	0	0
1	20	1	0	0
1	52	2	0	0
2	24	1	0	0
7	25	1	0	0
8	3	1	0	0
8	35	1	0	0
8	68	1	0	0
9	66	1	0	0
10	17	1	0	0
12	15	2	0	0
12	20	3	0	0
13	25	1	0	0
13	26	1	0	0
14	20	1	0	0
-1	6	1	0	0
-5	1	25	0	0
-6	71	23	0	0
-7	72	5	0	0
-9	65	3	0	0
-9	72	1	0	0
-10	58	2	0	0
-14	59	2	0	0
-14	62	2	0	0
-15	45	1	0	0
-15	58	1	0	0
-15	59	5	0	0
-16	25	2	0	0
-16	52	1	0	0
-16	58	1	0	0
-16	59	1	0	0
-16	60	5	0	0
-17	24	2	0	0
-17	28	2	0	0
-17	29	43	0	0
-17	31	44	0	0
-17	32	1	0	0
-17	57	1	0	0
-18	23	7	0	0
-18	25	2	0	0
-18	29	2	0	0
-18	30	1	0	0
-18	31	4	0	0
-18	34	6	0	0
-18	56	1	0	0
-18	59	1	0	0
-18	62	1	0	0
-19	23	4	0	0
-19	25	1	0	0
-19	31	1	0	0
-20	46	2	0	0
-23	51	2	0	0
-23	52	2	0	0
-24	53	1	0	0
-24	54	1	0	0
-28	25	1	0	0
-28	26	1	0	0
1	71	1	0	0
3	9	1	0	0
3	63	1	0	0
5	16	1	0	0
10	19	2	0	0
10	59	2	0	0
10	70	1	0	0
11	60	2	0	0
15	69	1	0	0
20	20	1	0	0
